steps,rewards,times
0,-50.0,2023-05-08 14:38:23.922285
50000,-50.0,2023-05-08 14:38:26.791285
100000,-50.0,2023-05-08 14:38:29.391286
150000,-50.0,2023-05-08 14:38:32.055785
200000,-50.0,2023-05-08 14:38:34.709286
250000,-50.0,2023-05-08 14:38:37.637784
300000,-50.0,2023-05-08 14:38:40.515287
350000,-49.8,2023-05-08 14:38:43.448285
400000,-50.0,2023-05-08 14:38:46.437284
450000,-49.9,2023-05-08 14:38:49.489287
500000,-49.9,2023-05-08 14:38:52.436285
550000,-49.8,2023-05-08 14:38:55.429784
600000,-49.7,2023-05-08 14:38:58.449284
650000,-49.8,2023-05-08 14:39:01.263784
700000,-49.9,2023-05-08 14:39:04.246284
750000,-50.0,2023-05-08 14:39:07.542787
800000,-50.0,2023-05-08 14:39:10.581286
850000,-49.4,2023-05-08 14:39:13.510286
900000,-49.7,2023-05-08 14:39:16.463788
950000,-50.0,2023-05-08 14:39:19.354284
1000000,-50.0,2023-05-08 14:39:22.292785
1050000,-49.9,2023-05-08 14:39:25.245287
1100000,-49.6,2023-05-08 14:39:28.346786
1150000,-50.0,2023-05-08 14:39:31.304284
1200000,-50.0,2023-05-08 14:39:34.158787
1250000,-49.8,2023-05-08 14:39:37.004784
1300000,-49.5,2023-05-08 14:39:39.958785
1350000,-49.7,2023-05-08 14:39:42.995786
1400000,-50.0,2023-05-08 14:39:45.774285
1450000,-49.7,2023-05-08 14:39:48.778785
1500000,-49.8,2023-05-08 14:39:51.773284
1550000,-49.9,2023-05-08 14:39:54.538288
1600000,-50.0,2023-05-08 14:39:57.402286
1650000,-49.7,2023-05-08 14:40:00.439286
1700000,-49.9,2023-05-08 14:40:03.252786
1750000,-49.9,2023-05-08 14:40:06.108285
1800000,-50.0,2023-05-08 14:40:08.886285
1850000,-47.7,2023-05-08 14:40:11.731787
1900000,-49.9,2023-05-08 14:40:14.454284
1950000,-48.6,2023-05-08 14:40:17.243786
2000000,-48.0,2023-05-08 14:40:20.137786
2050000,-50.0,2023-05-08 14:40:22.879787
2100000,-50.0,2023-05-08 14:40:25.515786
2150000,-50.0,2023-05-08 14:40:28.470787
2200000,-49.9,2023-05-08 14:40:31.258788
2250000,-49.9,2023-05-08 14:40:33.852286
2300000,-50.0,2023-05-08 14:40:36.493285
2350000,-49.8,2023-05-08 14:40:39.276786
2400000,-50.0,2023-05-08 14:40:41.956286
2450000,-49.8,2023-05-08 14:40:44.813284
2500000,-50.0,2023-05-08 14:40:47.479287
2550000,-50.0,2023-05-08 14:40:50.309784
2600000,-49.9,2023-05-08 14:40:53.341785
2650000,-50.0,2023-05-08 14:40:56.026785
2700000,-49.9,2023-05-08 14:40:58.795286
2750000,-50.0,2023-05-08 14:41:01.600785
2800000,-49.9,2023-05-08 14:41:04.631783
2850000,-50.0,2023-05-08 14:41:07.414286
2900000,-50.0,2023-05-08 14:41:10.201784
2950000,-49.8,2023-05-08 14:41:13.097788
3000000,-50.0,2023-05-08 14:41:16.131784
3050000,-48.9,2023-05-08 14:41:18.947285
3100000,-49.9,2023-05-08 14:41:21.709287
3150000,-48.9,2023-05-08 14:41:24.507284
3200000,-49.8,2023-05-08 14:41:27.208785
3250000,-49.9,2023-05-08 14:41:29.875784
3300000,-49.6,2023-05-08 14:41:32.735284
3350000,-49.7,2023-05-08 14:41:35.462286
3400000,-50.0,2023-05-08 14:41:38.503287
3450000,-50.0,2023-05-08 14:41:41.535785
3500000,-49.7,2023-05-08 14:41:44.950786
3550000,-50.0,2023-05-08 14:41:48.383783
3600000,-50.0,2023-05-08 14:41:52.032784
3650000,-50.0,2023-05-08 14:41:55.754288
3700000,-50.0,2023-05-08 14:41:59.173785
3750000,-50.0,2023-05-08 14:42:02.590786
3800000,-50.0,2023-05-08 14:42:06.140287
3850000,-49.8,2023-05-08 14:42:09.269784
3900000,-49.7,2023-05-08 14:42:12.489788
3950000,-50.0,2023-05-08 14:42:15.543287
4000000,-49.7,2023-05-08 14:42:18.634286
4050000,-50.0,2023-05-08 14:42:21.586284
4100000,-50.0,2023-05-08 14:42:24.477286
4150000,-50.0,2023-05-08 14:42:27.389285
4200000,-49.4,2023-05-08 14:42:30.166287
4250000,-49.5,2023-05-08 14:42:33.044784
4300000,-50.0,2023-05-08 14:42:36.137787
4350000,-49.5,2023-05-08 14:42:39.008785
4400000,-50.0,2023-05-08 14:42:41.830784
4450000,-49.7,2023-05-08 14:42:44.614285
4500000,-49.8,2023-05-08 14:42:47.368787
4550000,-50.0,2023-05-08 14:42:50.089785
4600000,-50.0,2023-05-08 14:42:52.976284
4650000,-49.8,2023-05-08 14:42:55.975287
4700000,-50.0,2023-05-08 14:42:58.861284
4750000,-50.0,2023-05-08 14:43:01.735785
4800000,-50.0,2023-05-08 14:43:04.682787
4850000,-50.0,2023-05-08 14:43:07.727784
4900000,-50.0,2023-05-08 14:43:10.432785
4950000,-49.3,2023-05-08 14:43:13.261286
5000000,-49.9,2023-05-08 14:43:15.999284
5050000,-49.9,2023-05-08 14:43:18.907285
5100000,-50.0,2023-05-08 14:43:21.542784
5150000,-50.0,2023-05-08 14:43:24.127284
5200000,-49.6,2023-05-08 14:43:27.007284
5250000,-49.8,2023-05-08 14:43:29.899283
5300000,-49.7,2023-05-08 14:43:32.559285
5350000,-50.0,2023-05-08 14:43:35.294784
5400000,-49.9,2023-05-08 14:43:38.271284
5450000,-50.0,2023-05-08 14:43:41.065284
5500000,-49.8,2023-05-08 14:43:43.786784
5550000,-50.0,2023-05-08 14:43:46.654284
5600000,-50.0,2023-05-08 14:43:49.564284
5650000,-50.0,2023-05-08 14:43:52.366285
5700000,-49.2,2023-05-08 14:43:55.175285
5750000,-50.0,2023-05-08 14:43:58.122284
5800000,-50.0,2023-05-08 14:44:00.958284
5850000,-50.0,2023-05-08 14:44:03.755284
5900000,-50.0,2023-05-08 14:44:06.580786
5950000,-49.9,2023-05-08 14:44:09.528785
6000000,-49.8,2023-05-08 14:44:12.363287
6050000,-50.0,2023-05-08 14:44:15.408285
6100000,-49.8,2023-05-08 14:44:18.426284
6150000,-49.6,2023-05-08 14:44:21.574786
6200000,-50.0,2023-05-08 14:44:24.475287
6250000,-49.7,2023-05-08 14:44:27.233784
6300000,-50.0,2023-05-08 14:44:30.093787
6350000,-49.9,2023-05-08 14:44:32.861785
6400000,-50.0,2023-05-08 14:44:35.659785
6450000,-50.0,2023-05-08 14:44:38.611784
6500000,-45.1,2023-05-08 14:44:41.709787
6550000,-50.0,2023-05-08 14:44:44.526285
6600000,-50.0,2023-05-08 14:44:47.418788
6650000,-50.0,2023-05-08 14:44:50.270787
6700000,-50.0,2023-05-08 14:44:53.172788
6750000,-50.0,2023-05-08 14:44:56.054785
6800000,-49.8,2023-05-08 14:44:59.041784
6850000,-49.8,2023-05-08 14:45:02.018787
6900000,-50.0,2023-05-08 14:45:04.807284
6950000,-50.0,2023-05-08 14:45:07.626286
7000000,-46.3,2023-05-08 14:45:10.538785
7050000,-50.0,2023-05-08 14:45:13.358786
7100000,-50.0,2023-05-08 14:45:16.002787
7150000,-50.0,2023-05-08 14:45:18.613284
7200000,-46.3,2023-05-08 14:45:21.398286
7250000,-50.0,2023-05-08 14:45:24.159785
7300000,-50.0,2023-05-08 14:45:26.788785
7350000,-50.0,2023-05-08 14:45:29.425784
7400000,-50.0,2023-05-08 14:45:32.011784
7450000,-50.0,2023-05-08 14:45:34.644284
7500000,-50.0,2023-05-08 14:45:37.111784
7550000,-50.0,2023-05-08 14:45:39.600285
7600000,-50.0,2023-05-08 14:45:42.145785
7650000,-49.8,2023-05-08 14:45:44.868784
7700000,-50.0,2023-05-08 14:45:47.306785
7750000,-50.0,2023-05-08 14:45:49.730784
7800000,-50.0,2023-05-08 14:45:52.378785
7850000,-50.0,2023-05-08 14:45:55.062785
7900000,-50.0,2023-05-08 14:45:57.698785
7950000,-50.0,2023-05-08 14:46:00.489785
8000000,-48.6,2023-05-08 14:46:03.216284
8050000,-49.7,2023-05-08 14:46:05.989784
8100000,-47.5,2023-05-08 14:46:08.546287
8150000,-45.3,2023-05-08 14:46:11.222784
8200000,-50.0,2023-05-08 14:46:13.994287
8250000,-50.0,2023-05-08 14:46:16.556284
8300000,-49.9,2023-05-08 14:46:19.080286
8350000,-49.9,2023-05-08 14:46:21.770285
8400000,-50.0,2023-05-08 14:46:24.497284
8450000,-49.6,2023-05-08 14:46:27.269784
8500000,-50.0,2023-05-08 14:46:29.844785
8550000,-50.0,2023-05-08 14:46:32.515785
8600000,-49.9,2023-05-08 14:46:35.362785
8650000,-49.9,2023-05-08 14:46:38.137285
8700000,-50.0,2023-05-08 14:46:40.677784
8750000,-49.9,2023-05-08 14:46:43.326787
8800000,-50.0,2023-05-08 14:46:46.253285
8850000,-50.0,2023-05-08 14:46:48.780285
8900000,-48.7,2023-05-08 14:46:51.339284
8950000,-50.0,2023-05-08 14:46:54.109284
9000000,-49.9,2023-05-08 14:46:57.087788
9050000,-50.0,2023-05-08 14:46:59.838286
9100000,-49.2,2023-05-08 14:47:02.427786
9150000,-50.0,2023-05-08 14:47:04.980786
9200000,-50.0,2023-05-08 14:47:07.678786
9250000,-50.0,2023-05-08 14:47:10.367785
9300000,-50.0,2023-05-08 14:47:12.980285
9350000,-49.9,2023-05-08 14:47:15.552288
9400000,-50.0,2023-05-08 14:47:17.998785
9450000,-50.0,2023-05-08 14:47:20.415285
9500000,-48.5,2023-05-08 14:47:22.890286
9550000,-46.9,2023-05-08 14:47:25.416785
9600000,-43.9,2023-05-08 14:47:27.732785
9650000,-49.7,2023-05-08 14:47:30.201288
9700000,-50.0,2023-05-08 14:47:32.606785
9750000,-50.0,2023-05-08 14:47:35.121785
9800000,-50.0,2023-05-08 14:47:37.702785
9850000,-50.0,2023-05-08 14:47:40.211784
9900000,-50.0,2023-05-08 14:47:42.632785
9950000,-50.0,2023-05-08 14:47:45.297785
10000000,-50.0,2023-05-08 14:47:47.902285
10050000,-50.0,2023-05-08 14:47:50.356785
10100000,-50.0,2023-05-08 14:47:52.762785
10150000,-50.0,2023-05-08 14:47:55.248284
10200000,-50.0,2023-05-08 14:47:57.990784
10250000,-45.1,2023-05-08 14:48:00.552286
10300000,-50.0,2023-05-08 14:48:02.917284
